Review,Liked,cleaned,vader_neg,vader_neu,vader_pos,vader_compound,vader_pred
Wow... Loved this place.,1,wow loved place,0.0,0.435,0.565,0.5994,1
Crust is not good.,0,crust not good,0.445,0.555,0.0,-0.3412,0
Not tasty and the texture was just nasty.,0,not tasty texture nasty,0.34,0.66,0.0,-0.5574,0
Stopped by during the late May bank holiday off Rick Steve recommendation and loved it.,1,stopped late may bank holiday rick steve recommendation loved,0.093,0.585,0.322,0.6908,1
The selection on the menu was great and so were the prices.,1,selection menu great price,0.0,0.728,0.272,0.6249,1
Now I am getting angry and I want my damn pho.,0,getting angry want damn pho,0.451,0.451,0.098,-0.6908,0
Honeslty it didn't taste THAT fresh.),0,honeslty not taste fresh,0.0,1.0,0.0,0.0,0
The potatoes were like rubber and you could tell they had been made up ahead of time being kept under a warmer.,0,potato like rubber could tell made ahead time kept warmer,0.0,0.802,0.198,0.5719,1
The fries were great too.,1,fry great,0.0,0.494,0.506,0.6249,1
A great touch.,1,great touch,0.0,0.196,0.804,0.6249,1
Service was very prompt.,1,service prompt,0.0,1.0,0.0,0.0,0
Would not go back.,0,would not go back,0.0,1.0,0.0,0.0,0
The cashier had no care what so ever on what I had to say it still ended up being wayyy overpriced.,0,cashier no care ever say still ended wayyy overpriced,0.094,0.769,0.137,0.25,1
"I tried the Cape Cod ravoli, chicken, with cranberry...mmmm!",1,tried cape cod ravoli chicken cranberry mmmm,0.0,1.0,0.0,0.0,0
I was disgusted because I was pretty sure that was human hair.,0,disgusted pretty sure human hair,0.214,0.44,0.346,0.2732,1
I was shocked because no signs indicate cash only.,0,shocked no sign indicate cash,0.429,0.571,0.0,-0.5423,0
Highly recommended.,1,highly recommended,0.0,0.323,0.677,0.2716,1
Waitress was a little slow in service.,0,waitress little slow service,0.0,1.0,0.0,0.0,0
"This place is not worth your time, let alone Vegas.",0,place not worth time let alone vega,0.314,0.686,0.0,-0.3952,0
did not like at all.,0,not like,0.345,0.655,0.0,-0.2755,0
The Burrittos Blah!,0,burrittos blah,0.458,0.542,0.0,-0.1759,0
"The food, amazing.",1,food amazing,0.0,0.345,0.655,0.5859,1
